"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"
5	28	25	28	27	17	27	27	27
26	0	25	5	27	28	27	2	27
14	28	25	6	27	28	27	27	27
26	26	25	5	28	28	27	7	27
28	28	25	28	27	0	27	27	27
7	25	27	20	28	8	27	27	27
28	28	25	20	27	28	27	27	22
28	4	26	28	16	28	27	27	27
27	28	25	6	27	28	27	27	27
26	28	27	21	27	28	27	27	24
28	28	27	28	27	0	27	27	26
0	28	25	28	26	28	27	27	21
28	28	25	5	26	28	27	27	27
3	28	25	5	16	28	28	10	28
5	28	28	28	27	25	28	0	28
28	28	28	28	27	25	28	28	28
0	28	28	8	27	25	0	28	28
28	28	28	5	27	25	28	0	28
28	28	28	5	27	25	28	9	28
28	28	28	28	27	27	28	28	28
6	28	3	17	27	27	28	28	28
28	28	28	28	27	27	28	14	28
28	28	28	28	27	27	28	28	2
28	28	28	28	27	27	28	28	28
28	28	28	28	27	27	28	28	28
28	28	28	28	27	27	28	28	28
17	28	28	28	22	27	28	28	28
2	28	28	28	27	27	28	28	28
27	0	28	28	28	0	28	26	27
6	27	9	28	28	28	28	26	4
27	15	28	28	28	28	28	26	27
27	27	28	20	28	28	28	26	27
0	0	0	0	0	0	0	27	28
12	16	27	11	28	28	28	0	0
26	28	27	26	28	28	28	27	28
12	21	20	26	28	28	28	16	28
26	28	9	26	28	28	28	27	28
26	28	27	26	28	28	28	0	28
26	28	27	26	28	28	28	27	28
26	28	27	7	28	28	28	0	28
27	28	27	26	28	28	28	27	28
27	28	24	26	28	28	28	27	28
27	28	27	26	15	28	28	27	28
0	23	27	26	28	28	28	6	28
0	28	27	26	28	15	28	0	28
27	28	27	26	28	28	28	0	28
28	28	27	26	16	28	28	27	28
28	28	27	26	28	28	15	27	17
28	28	25	6	15	28	28	27	28
28	28	27	26	28	28	28	27	28
28	27	24	27	25	26	27	26	28
28	27	27	27	25	26	27	26	28
26	27	27	26	28	15	28	8	28
28	28	27	18	28	28	28	27	28
28	27	26	27	25	21	27	6	28
28	13	26	5	15	26	17	26	28
28	27	26	27	25	14	27	26	28
27	27	26	27	25	26	27	26	28
27	27	26	27	25	13	27	26	28
27	27	26	18	25	25	27	26	28
17	27	26	27	25	25	27	26	28
27	27	26	3	25	25	27	26	28
18	27	26	6	25	26	27	26	28
27	27	26	19	25	25	27	26	28
27	27	28	28	28	26	28	15	7
27	27	28	28	23	28	28	26	27
7	27	28	28	25	28	28	26	27
27	27	25	16	28	28	28	26	27
27	27	23	0	0	0	0	0	0
27	27	28	16	28	28	28	26	27
0	0	0	0	28	28	28	26	27
27	27	7	28	28	28	28	12	27
27	27	25	20	28	28	28	26	27
0	0	0	0	28	28	28	5	5
28	28	24	28	27	28	28	26	27
14	15	28	28	28	27	28	26	27
6	28	11	28	0	28	11	26	21
27	21	0	0	0	0	0	0	0
28	28	6	28	18	27	26	24	28
0	27	28	28	27	27	14	22	28
28	28	28	5	27	27	26	28	4
28	28	28	3	27	27	26	16	28
28	28	28	28	25	27	26	16	28
0	27	28	28	27	27	0	28	28
28	28	28	28	27	27	26	28	28
28	28	28	28	27	27	26	28	28
28	28	22	5	27	27	26	28	28
28	28	28	28	27	27	26	28	28
28	28	28	6	27	27	26	21	28
28	28	28	28	20	27	26	20	28
28	17	28	0	27	27	26	28	28
28	28	28	6	22	27	26	28	28
0	0	0	0	15	27	26	28	28
28	28	28	5	27	27	26	15	28
0	28	28	28	27	27	26	28	0
