"species"	"site"	"season"	"count"
"1"	"1"	"1"	0
"2"	"1"	"1"	0
"3"	"1"	"1"	0
"4"	"1"	"1"	1
"5"	"1"	"1"	0
"1"	"2"	"1"	0
"2"	"2"	"1"	0
"3"	"2"	"1"	0
"4"	"2"	"1"	0
"5"	"2"	"1"	0
"1"	"3"	"1"	0
"2"	"3"	"1"	0
"3"	"3"	"1"	0
"4"	"3"	"1"	0
"5"	"3"	"1"	3
"1"	"4"	"1"	0
"2"	"4"	"1"	0
"3"	"4"	"1"	0
"4"	"4"	"1"	0
"5"	"4"	"1"	0
"1"	"5"	"1"	0
"2"	"5"	"1"	0
"3"	"5"	"1"	0
"4"	"5"	"1"	0
"5"	"5"	"1"	0
"1"	"6"	"1"	0
"2"	"6"	"1"	0
"3"	"6"	"1"	0
"4"	"6"	"1"	0
"5"	"6"	"1"	0
"1"	"7"	"1"	0
"2"	"7"	"1"	0
"3"	"7"	"1"	0
"4"	"7"	"1"	0
"5"	"7"	"1"	0
"1"	"8"	"1"	0
"2"	"8"	"1"	0
"3"	"8"	"1"	0
"4"	"8"	"1"	0
"5"	"8"	"1"	0
"1"	"9"	"1"	1
"2"	"9"	"1"	0
"3"	"9"	"1"	0
"4"	"9"	"1"	0
"5"	"9"	"1"	0
"1"	"10"	"1"	0
"2"	"10"	"1"	0
"3"	"10"	"1"	0
"4"	"10"	"1"	0
"5"	"10"	"1"	0
"1"	"11"	"1"	0
"2"	"11"	"1"	0
"3"	"11"	"1"	0
"4"	"11"	"1"	0
"5"	"11"	"1"	0
"1"	"12"	"1"	NA
"2"	"12"	"1"	NA
"3"	"12"	"1"	NA
"4"	"12"	"1"	NA
"5"	"12"	"1"	NA
"1"	"13"	"1"	0
"2"	"13"	"1"	0
"3"	"13"	"1"	0
"4"	"13"	"1"	0
"5"	"13"	"1"	0
"1"	"14"	"1"	0
"2"	"14"	"1"	0
"3"	"14"	"1"	0
"4"	"14"	"1"	2
"5"	"14"	"1"	1
"1"	"15"	"1"	0
"2"	"15"	"1"	0
"3"	"15"	"1"	0
"4"	"15"	"1"	1
"5"	"15"	"1"	0
"1"	"16"	"1"	1
"2"	"16"	"1"	0
"3"	"16"	"1"	0
"4"	"16"	"1"	11
"5"	"16"	"1"	1
"1"	"17"	"1"	NA
"2"	"17"	"1"	NA
"3"	"17"	"1"	NA
"4"	"17"	"1"	NA
"5"	"17"	"1"	NA
"1"	"18"	"1"	3
"2"	"18"	"1"	0
"3"	"18"	"1"	0
"4"	"18"	"1"	6
"5"	"18"	"1"	0
"1"	"19"	"1"	0
"2"	"19"	"1"	0
"3"	"19"	"1"	1
"4"	"19"	"1"	6
"5"	"19"	"1"	1
"1"	"20"	"1"	2
"2"	"20"	"1"	0
"3"	"20"	"1"	3
"4"	"20"	"1"	10
"5"	"20"	"1"	3
"1"	"21"	"1"	2
"2"	"21"	"1"	0
"3"	"21"	"1"	0
"4"	"21"	"1"	0
"5"	"21"	"1"	0
"1"	"22"	"1"	5
"2"	"22"	"1"	0
"3"	"22"	"1"	1
"4"	"22"	"1"	25
"5"	"22"	"1"	3
"1"	"23"	"1"	0
"2"	"23"	"1"	0
"3"	"23"	"1"	0
"4"	"23"	"1"	2
"5"	"23"	"1"	1
"1"	"24"	"1"	6
"2"	"24"	"1"	0
"3"	"24"	"1"	0
"4"	"24"	"1"	0
"5"	"24"	"1"	0
"1"	"25"	"1"	0
"2"	"25"	"1"	0
"3"	"25"	"1"	0
"4"	"25"	"1"	6
"5"	"25"	"1"	1
"1"	"26"	"1"	0
"2"	"26"	"1"	0
"3"	"26"	"1"	0
"4"	"26"	"1"	14
"5"	"26"	"1"	0
"1"	"27"	"1"	5
"2"	"27"	"1"	0
"3"	"27"	"1"	1
"4"	"27"	"1"	3
"5"	"27"	"1"	0
"1"	"28"	"1"	0
"2"	"28"	"1"	0
"3"	"28"	"1"	0
"4"	"28"	"1"	0
"5"	"28"	"1"	0
"1"	"29"	"1"	0
"2"	"29"	"1"	0
"3"	"29"	"1"	0
"4"	"29"	"1"	0
"5"	"29"	"1"	0
"1"	"30"	"1"	0
"2"	"30"	"1"	0
"3"	"30"	"1"	0
"4"	"30"	"1"	0
"5"	"30"	"1"	2
"1"	"31"	"1"	0
"2"	"31"	"1"	0
"3"	"31"	"1"	0
"4"	"31"	"1"	0
"5"	"31"	"1"	0
"1"	"32"	"1"	0
"2"	"32"	"1"	0
"3"	"32"	"1"	0
"4"	"32"	"1"	0
"5"	"32"	"1"	0
"1"	"33"	"1"	NA
"2"	"33"	"1"	NA
"3"	"33"	"1"	NA
"4"	"33"	"1"	NA
"5"	"33"	"1"	NA
"1"	"34"	"1"	1
"2"	"34"	"1"	0
"3"	"34"	"1"	0
"4"	"34"	"1"	0
"5"	"34"	"1"	0
"1"	"35"	"1"	0
"2"	"35"	"1"	0
"3"	"35"	"1"	0
"4"	"35"	"1"	0
"5"	"35"	"1"	0
"1"	"36"	"1"	0
"2"	"36"	"1"	0
"3"	"36"	"1"	0
"4"	"36"	"1"	0
"5"	"36"	"1"	0
"1"	"37"	"1"	0
"2"	"37"	"1"	0
"3"	"37"	"1"	0
"4"	"37"	"1"	1
"5"	"37"	"1"	0
"1"	"38"	"1"	3
"2"	"38"	"1"	0
"3"	"38"	"1"	0
"4"	"38"	"1"	0
"5"	"38"	"1"	0
"1"	"39"	"1"	0
"2"	"39"	"1"	1
"3"	"39"	"1"	0
"4"	"39"	"1"	1
"5"	"39"	"1"	0
"1"	"40"	"1"	0
"2"	"40"	"1"	0
"3"	"40"	"1"	0
"4"	"40"	"1"	0
"5"	"40"	"1"	0
"1"	"41"	"1"	1
"2"	"41"	"1"	0
"3"	"41"	"1"	0
"4"	"41"	"1"	2
"5"	"41"	"1"	1
"1"	"42"	"1"	0
