"sites","pc1"
"D02-HUP1",-2.17470645683241
"D02-MOP1",-2.38570256071649
"D02-RCP1",-2.16957436514479
"D02-SCP1",-2.55241352334734
"D03-AFP1",-1.9442254743438
"D03-AMP1",-1.25769598990336
"D03-CHP1",-1.76146594651833
"D03-MFP1",-1.48205796707209
"D04-DNP1",-0.970583515717194
"D04-FGP1",-0.373140021827474
"D04-RDP1",-0.701550357573326
"D05-ADC1",-0.0711395037314658
"D05-BRP1",-0.261129434916199
"D05-MHC1",-0.269239266713163
"D05-MIA1",0.0421124185600825
"D05-PRC1",0.450730006495279
"D06-KCG1",1.11908924185609
"D07-ASC1",0.657902903928716
"D07-BEC1",2.69031699811395
"D07-NOC1",1.47745881765788
"D07-PLN1",-0.81716589295633
"D08-BOR1",1.19201777217062
"D08-CCC1",0.872971930177024
"D08-DAW1",1.4865733703821
"D08-DAW2",1.06568602702064
"D09-BON1",0.148846676855687
"D09-CLG1",2.28607015397149
"D09-RYW1",3.64556728329505
"D09-VTC1",1.60105013203208
"D10-CAN1",1.11235798058382
"D10-KEM1",1.64000442924357
"D10-MAC1",3.38492699138662
"D10-VHC1",0.569793379751115
"J01-CLP1",-2.47272371255207
"J01-LMP1",-1.62406844475608
"J01-SEP1",-5.05960151728665
"J01-SKP1",-2.13396211285636
"J01-UIC1",-2.14068827420271
"R02-ALT1",-1.68655215373456
"R02-DPG1",-1.13916914282359
"R02-FRP1",-1.533475995183
"R03-AUP1",-1.26041931455022
"R03-CPG1",-1.20196521143419
"R03-EUC1",-1.01898941872035
"R03-MAP1",-0.987075310895239
"R04-MMW1",0.311864585895008
"R04-SCH1",-0.611630264350773
"R05-FMG1",0.400103150859323
"R05-GOC1",-0.0792612444266546
"R05-MTC1",0.263109303591354
"R05-STP1",-0.933158730867934
"R06-OTB1",-0.0879473987320647
"R06-SLT1",0.516035254731535
"R06-SLT2",0.864878322156023
"R06-YOW1",1.19938287840811
"R07-FSP1",-0.0389277989425761
"R07-GOF1",1.00795616058716
"R07-MMP1",0.91562149169953
"R07-YHR1",0.57031845244298
"R08-DAP1",1.33864850275027
"R08-PAP1",0.673315421863286
"R08-VLG1",0.457582813545699
"R08-WBK1",1.35598716002576
"R09-BLW1",1.04396192791371
"R09-LIM1",1.18377729195237
"R09-SMI1",1.65821873577833
"R10-FRM1",0.850069853482748
"R10-FRM2",1.28463638751522
"R10-WDW1",1.44354089704391
"S02-BRI1",-1.92341525530024
"S02-CPR1",-2.01653856618708
"S02-MCP1",-1.81188511548823
"S02-PIP1",-2.04010774387535
"S03-ARP1",-1.66133478661295
"S03-LCP1",-1.03610578637692
"S03-PSP1",-1.55801055211517
"S03-VIP1",-1.28522533665776
"S03-WAP1",-1.93933001414434
"S04-HAP1",-1.49016968489207
"S04-OTW1",0.406112559443266
"S04-SSP1",-0.572471949464393
"S04-VFP1",-1.34937728555248
"S04-WEP1",-1.13944413007392
"S05-LNC1",0.48278319282126
"S05-RES1",0.210853777517732
"S05-SFP1",-0.0735818077081455
"S06-CBW1",2.71839174780768
"S07-SAG1",1.32133767692165
"S07-STJ1",1.77740708968395
"S07-WGL1",1.48033906921377
"S08-WGL1",2.04383353765857
"S08-WGL2",1.95542657609143
"S09-ILC1",0.6253900867623
"S09-KTP1",1.94830440022319
"S09-SMC1",0.949226136791054
"S09-VTW1",-0.0697030069499093
"S10-ILC1",0.811966807527755
"S10-LEW1",1.50254121754718
"S10-LPC1",0.740785545402558
"S10-LPP1",1.41092281789021
